Latitude and Longitude,Class of Land,vh,vv
"(10.324635504740822, 105.2857017668154)",Rice,"[[0.019242526963353157, 0.015569808892905712], [0.029551628977060318, 0.03934047371149063]]","[[0.2732265293598175, 0.24864058196544647], [0.2475079447031021, 0.16599741578102112]]"
"(10.32009321644422, 105.24209579916996)",Rice,"[[0.016093486919999123, 0.008443254046142101], [0.007015696726739407, 0.003839856944978237]]","[[0.07909955084323883, 0.08304842561483383], [0.14998318254947662, 0.1205732449889183]]"
"(10.32281858942218, 105.25572266405916)",Rice,"[[0.04108208417892456, 0.058884792029857635], [0.07326202839612961, 0.09271583706140518]]","[[0.27932217717170715, 0.3849121034145355], [0.3669281601905823, 0.4078206717967987]]"
"(10.324635504740822, 105.25663112171844)",Rice,"[[0.0037128340918570757, 0.004925466608256102], [0.0038099961820989847, 0.003982908092439175]]","[[0.09458844363689423, 0.07412344962358475], [0.07553095370531082, 0.07671789079904556]]"
"(10.325089733570481, 105.25345151991095)",Rice,"[[0.012558226473629475, 0.013801682740449905], [0.017462095245718956, 0.014516277238726616]]","[[0.1926863044500351, 0.217450350522995], [0.24187585711479187, 0.32054221630096436]]"
"(10.32327281825184, 105.27707141905222)",Rice,"[[0.015459220856428146, 0.012836376205086708], [0.01394889410585165, 0.014490501955151558]]","[[0.20322203636169434, 0.31735774874687195], [0.2596442699432373, 0.37136438488960266]]"
"(10.323727047081501, 105.22892316311038)",Rice,"[[0.010507233440876007, 0.009657305665314198], [0.008555619977414608, 0.0071842665784060955]]","[[0.06935567408800125, 0.10190214216709137], [0.08119471371173859, 0.12129256129264832]]"
"(10.32327281825184, 105.2334654514068)",Rice,"[[0.0075663672760128975, 0.012845841236412525], [0.00769060431048274, 0.013730185106396675]]","[[0.23347562551498413, 0.18048429489135742], [0.11751754581928253, 0.05826304852962494]]"
"(10.319184758784901, 105.23846196853285)",Rice,"[[0.005350995808839798, 0.006795450579375029], [0.005058200564235449, 0.008456330746412277]]","[[0.146309033036232, 0.21548128128051758], [0.13957934081554413, 0.15386070311069489]]"
"(10.325089733570481, 105.26753261362978)",Rice,"[[0.024089209735393524, 0.01801978051662445], [0.0239011961966753, 0.0112080629914999]]","[[0.41514918208122253, 0.4666650891304016], [0.44203415513038635, 0.5622830986976624]]"
"(10.318730529955241, 105.2334654514068)",Rice,"[[0.013754291459918022, 0.012143666855990887], [0.014683529734611511, 0.016055481508374214]]","[[0.42761072516441345, 0.37447455525398254], [0.27915412187576294, 0.2490571290254593]]"
"(10.324635504740822, 105.28115947851899)",Rice,"[[0.02941649593412876, 0.02695624716579914], [0.023620158433914185, 0.02686326764523983]]","[[0.47548991441726685, 0.42040491104125977], [0.5062180757522583, 0.5699454545974731]]"
"(10.324181275911162, 105.27525450373366)",Rice,"[[0.0036052747163921595, 0.006946980487555265], [0.005765074398368597, 0.007605770602822304]]","[[0.18782106041908264, 0.21725818514823914], [0.1927100419998169, 0.33597612380981445]]"
"(10.319184758784901, 105.22846893428076)",Rice,"[[0.007322360295802355, 0.004958171863108873], [0.012261664494872093, 0.005993253085762262]]","[[0.11101546883583069, 0.10053682327270508], [0.16660816967487335, 0.193751260638237]]"
"(10.324181275911162, 105.24073311268103)",Rice,"[[0.0051861233077943325, 0.00650046207010746], [0.0058380914852023125, 0.006757810246199369], [0.005109723657369614, 0.0071258689276874065]]","[[0.07562046498060226, 0.12046176940202713], [0.09746624529361725, 0.1733754575252533], [0.11996402591466904, 0.14774180948734283]]"
"(10.323727047081501, 105.2788883343708)",Rice,"[[0.05673043057322502, 0.04642995074391365], [0.04871075600385666, 0.02299952693283558]]","[[0.40819051861763, 0.32849544286727905], [0.40883225202560425, 0.4756624102592468]]"
"(10.324181275911162, 105.26571569831123)",Rice,"[[0.003316841321066022, 0.00442546047270298], [0.006485475227236748, 0.005508562549948692]]","[[0.4593190550804138, 0.5781838297843933], [0.23682282865047455, 0.3585008680820465]]"
"(10.32009321644422, 105.24800077395528)",Rice,"[[0.02264835499227047, 0.016778800636529922], [0.016499828547239304, 0.016530944034457207]]","[[0.3652980625629425, 0.3036526143550873], [0.3178049325942993, 0.1772158145904541]]"
"(10.32327281825184, 105.23164853608824)",Rice,"[[0.01138281263411045, 0.01683090440928936], [0.00977265927940607, 0.01590866968035698]]","[[0.39861956238746643, 0.3709316849708557], [0.25930482149124146, 0.2416561096906662]]"
"(10.318730529955241, 105.22983162076967)",Rice,"[[0.0045635513961315155, 0.004976069089025259], [0.005650241859257221, 0.004458774346858263]]","[[0.13810786604881287, 0.12614436447620392], [0.10228266566991806, 0.10390293598175049]]"
"(10.323727047081501, 105.24436694331814)",Rice,"[[0.004958741366863251, 0.004024041350930929, 0.005153215024620295], [0.0051938630640506744, 0.0073511735536158085, 0.007391354069113731]]","[[0.20798859000205994, 0.20224584639072418, 0.1788228303194046], [0.19036442041397095, 0.2172623872756958, 0.2684570848941803]]"
"(10.324181275911162, 105.28206793617827)",Rice,"[[0.016247233375906944, 0.013149782083928585], [0.023780250921845436, 0.02067212015390396]]","[[0.7208244204521179, 0.6849244236946106], [0.49390488862991333, 0.36845946311950684]]"
"(10.325089733570481, 105.28524753798575)",Rice,"[[0.012841361574828625, 0.009201204404234886], [0.01276413258165121, 0.010537260212004185]]","[[0.14043772220611572, 0.25715142488479614], [0.26026973128318787, 0.31618455052375793]]"
"(10.320547445273881, 105.22756047662148)",Rice,"[[0.008687357418239117, 0.009416327811777592, 0.006129931658506393], [0.005948551464825869, 0.006465793587267399, 0.004500440787523985]]","[[0.021078579127788544, 0.02357359416782856, 0.035967715084552765], [0.021633252501487732, 0.016411857679486275, 0.012485492043197155]]"
"(10.32009321644422, 105.24527540097742)",Rice,"[[0.008558880537748337, 0.008361714892089367], [0.00920629221946001, 0.008774216286838055]]","[[0.5908268690109253, 0.36783450841903687], [1.0072211027145386, 0.6247202754020691]]"
"(10.324635504740822, 105.26980375777799)",Rice,"[[0.019165337085723877, 0.014274234883487225], [0.018439773470163345, 0.005813602823764086]]","[[0.2192586213350296, 0.23572470247745514], [0.22722060978412628, 0.2835986018180847]]"
"(10.323727047081501, 105.24527540097742)",Rice,"[[0.009628880769014359, 0.01063564047217369], [0.01346804853528738, 0.012606347911059856]]","[[0.3206019401550293, 0.448850154876709], [0.26468899846076965, 0.2801375985145569]]"
"(10.320547445273881, 105.23800773970319)",Rice,"[[0.019783437252044678, 0.023510592058300972], [0.019152142107486725, 0.0224959347397089]]","[[0.2059599906206131, 0.34333470463752747], [0.31506839394569397, 0.3872758150100708]]"
"(10.324635504740822, 105.26616992714088)",Rice,"[[0.011584052816033363, 0.006738466210663319], [0.014997448772192001, 0.012503410689532757]]","[[0.32255128026008606, 0.22125788033008575], [0.26584258675575256, 0.16209030151367188]]"
"(10.323727047081501, 105.27707141905222)",Rice,"[[0.031444985419511795, 0.02688545361161232, 0.03102758526802063], [0.034085579216480255, 0.02087821625173092, 0.018256312236189842]]","[[0.2180795818567276, 0.17519471049308777, 0.3433486223220825], [0.14460280537605286, 0.19508711993694305, 0.5270169377326965]]"
"(10.321001674103542, 105.23028584959931)",Rice,"[[0.006937697995454073, 0.0068961200304329395], [0.004970340523868799, 0.007115648593753576]]","[[0.10849442332983017, 0.092364601790905], [0.0680580586194992, 0.07178208231925964]]"
"(10.319184758784901, 105.23437390906608)",Rice,"[[0.031139137223362923, 0.03669935092329979], [0.023148825392127037, 0.030866486951708794]]","[[0.3080131411552429, 0.23331430554389954], [0.24116680026054382, 0.14667440950870514]]"
"(10.320547445273881, 105.25208883342202)",Rice,"[[0.015017722733318806, 0.0070773460902273655], [0.01580200530588627, 0.004969566594809294], [0.017724912613630295, 0.008125295862555504]]","[[0.4292360544204712, 0.3046698272228241], [0.4803380072116852, 0.3847779631614685], [0.3362918496131897, 0.3336833417415619]]"
"(10.321910131762861, 105.24618385863673)",Rice,"[[0.006743496749550104, 0.007055825553834438], [0.011940804310142994, 0.012895523570477962], [0.016783447936177254, 0.01746690459549427]]","[[0.16548797488212585, 0.2764904797077179], [0.13382993638515472, 0.18938493728637695], [0.0936269536614418, 0.09892594814300537]]"
"(10.325089733570481, 105.26208186767411)",Rice,"[[0.008639803156256676, 0.010648091323673725], [0.008922504261136055, 0.008817269466817379]]","[[0.28355735540390015, 0.40690600872039795], [0.46003738045692444, 0.5464537143707275]]"
"(10.321455902933202, 105.2266520189622)",Rice,"[[0.008701082319021225, 0.007932954467833042, 0.015442583709955215], [0.01548706740140915, 0.01124867144972086, 0.019021324813365936]]","[[0.25070932507514954, 0.29006442427635193, 0.24630646407604218], [0.19021309912204742, 0.18871910870075226, 0.21737125515937805]]"
"(10.32327281825184, 105.28797291096359)",Rice,"[[0.0742647722363472, 0.037822406738996506], [0.05000452697277069, 0.03642592206597328]]","[[0.14465099573135376, 0.11433441191911697], [0.0793071836233139, 0.12439161539077759]]"
"(10.318730529955241, 105.2348281378957)",Rice,"[[0.014523542486131191, 0.012233727611601353], [0.007788010872900486, 0.011205432005226612]]","[[0.12981562316417694, 0.08846361935138702], [0.08417337387800217, 0.06948214769363403]]"
"(10.324181275911162, 105.24890923161456)",Rice,"[[0.0077026477083563805, 0.010293561965227127], [0.012970338575541973, 0.023508455604314804]]","[[0.16697776317596436, 0.2756216824054718], [0.1455729603767395, 0.2414185106754303]]"
"(10.323727047081501, 105.2416415703403)",Rice,"[[0.004847830161452293, 0.0062370398081839085], [0.009082252159714699, 0.014603855088353157], [0.015733111649751663, 0.017994455993175507]]","[[0.1012062355875969, 0.1249563992023468], [0.13890787959098816, 0.16385014355182648], [0.21783339977264404, 0.20576782524585724]]"
"(9.983509653666161, 105.50282314738331)",Rice,"[[0.03031459078192711, 0.023359963670372963], [0.022555271163582802, 0.02317281812429428]]","[[0.1232365295290947, 0.16017891466617584], [0.13652606308460236, 0.18139885365962982]]"
"(9.966248958139081, 105.52735150418388)",Rice,"[[0.039888396859169006, 0.04361198469996452], [0.03666628152132034, 0.054562099277973175]]","[[0.07588290423154831, 0.13234753906726837], [0.0895480364561081, 0.15243183076381683]]"
"(9.962160898672142, 105.52008384290963)",Rice,"[[0.03895377740263939, 0.04808938130736351], [0.04747763276100159, 0.04886787384748459]]","[[0.09821497648954391, 0.14398705959320068], [0.10944129526615143, 0.1350516527891159]]"
"(9.98169273834752, 105.53143956365062)",Rice,"[[0.030255330726504326, 0.023778589442372322], [0.024124441668391228, 0.022779764607548714], [0.008929966948926449, 0.01304236613214016]]","[[0.04726182296872139, 0.06200748309493065], [0.06338143348693848, 0.06514552235603333], [0.08482338488101959, 0.05749484524130821]]"
"(9.974425077072961, 105.48510822302734)",Rice,"[[0.024289488792419434, 0.027510592713952065], [0.01913192868232727, 0.02369755506515503]]","[[0.09348385035991669, 0.13549450039863586], [0.133354052901268, 0.13997220993041992]]"
"(9.99259423025936, 105.51645001227251)",Rice,"[[0.020033616572618484, 0.022632939741015434], [0.030384721234440804, 0.038155652582645416]]","[[0.07128701359033585, 0.07388067990541458], [0.07812035083770752, 0.06833833456039429]]"
"(9.982601196006842, 105.54779180151766)",Rice,"[[0.017823314294219017, 0.03372527286410332], [0.019484130665659904, 0.041815999895334244]]","[[0.07488780468702316, 0.07915666699409485], [0.056163009256124496, 0.06125444173812866]]"
"(9.94490020314506, 105.52144652939856)",Rice,"[[0.012960704043507576, 0.0109731899574399], [0.013158678077161312, 0.01537402719259262], [0.0200272798538208, 0.023187559098005295]]","[[0.056696537882089615, 0.03604022040963173], [0.09330104291439056, 0.07147083431482315], [0.09043040871620178, 0.1136023998260498]]"
"(9.991685772600041, 105.49600971493871)",Rice,"[[0.04201183840632439, 0.047550398856401443], [0.0318148098886013, 0.03223900869488716]]","[[0.13750939071178436, 0.14158089458942413], [0.10117240250110626, 0.1344110369682312]]"
"(9.975787763561941, 105.49373857079053)",Rice,"[[0.03592852130532265, 0.03148495778441429], [0.03770188242197037, 0.0394631028175354]]","[[0.08490948379039764, 0.09785966575145721], [0.05731763318181038, 0.07821530103683472]]"
"(9.992140001429702, 105.51645001227251)",Rice,"[[0.046897221356630325, 0.04895368963479996], [0.0224505253136158, 0.03482465073466301]]","[[0.07932136952877045, 0.10384070128202438], [0.061289750039577484, 0.08592044562101364]]"
"(9.979421594199222, 105.50963657982791)",Rice,"[[0.025436529889702797, 0.04381086677312851], [0.028668295592069626, 0.037485674023628235]]","[[0.17118684947490692, 0.13410601019859314], [0.14121629297733307, 0.09988156706094742]]"
"(9.976241992391602, 105.48601668068665)",Rice,"[[0.02654029242694378, 0.02057027816772461], [0.04258447512984276, 0.01899617351591587], [0.03738882765173912, 0.0188327357172966]]","[[0.15704505145549774, 0.13860997557640076], [0.1364978402853012, 0.0827842429280281], [0.12324400246143341, 0.05163874477148056]]"
"(9.983509653666161, 105.52871419067279)",Rice,"[[0.0731741413474083, 0.055470675230026245], [0.049026139080524445, 0.04538799077272415]]","[[0.10136013478040695, 0.09209810942411423], [0.08761178702116013, 0.06435374170541763]]"
"(9.990777314940722, 105.49964354557582)",Rice,"[[0.03436689451336861, 0.044469937682151794], [0.02635551616549492, 0.025886408984661102]]","[[0.15520547330379486, 0.13368846476078033], [0.12686511874198914, 0.1260012537240982]]"
"(9.95443900856792, 105.52825996184316)",Rice,"[[0.0216117724776268, 0.014667375944554806], [0.029359115287661552, 0.024082962423563004]]","[[0.06384781002998352, 0.06469790637493134], [0.06533686816692352, 0.06178467348217964]]"
"(9.994411145578, 105.50872812216863)",Rice,"[[0.0242760106921196, 0.015747034922242165], [0.02988816238939762, 0.035596366971731186]]","[[0.07237998396158218, 0.05219920724630356], [0.09287337958812714, 0.09541796892881393]]"
"(9.98805194196276, 105.51054503748719)",Rice,"[[0.02015135996043682, 0.01775364950299263], [0.035262733697891235, 0.01301412284374237], [0.049059126526117325, 0.012394947931170464]]","[[0.11497803777456284, 0.054928094148635864], [0.11085902899503708, 0.06829335540533066], [0.11528502404689789, 0.09338618814945221]]"
"(9.947171347293361, 105.51735846993179)",Rice,"[[0.04164568707346916, 0.04808450862765312], [0.03357789292931557, 0.03486137464642525]]","[[0.06984206289052963, 0.10124456882476807], [0.05675541236996651, 0.07464222609996796]]"
"(9.97669622122126, 105.53734453843595)",Rice,"[[0.03482368215918541, 0.039905864745378494], [0.0312916524708271, 0.02719925530254841]]","[[0.10644792020320892, 0.052839405834674835], [0.121815025806427, 0.06520286202430725]]"
"(9.952622093249282, 105.51554155461324)",Rice,"[[0.03769019618630409, 0.03055659309029579], [0.04699377343058586, 0.034106917679309845]]","[[0.08466029912233353, 0.0702894926071167], [0.090415358543396, 0.07925747334957123]]"
"(9.964886271650101, 105.50009777440548)",Rice,"[[0.012926651164889336, 0.00820384081453085, 0.010285000316798687], [0.010472624562680721, 0.014023678377270699, 0.013035180978477001]]","[[0.05841655656695366, 0.0608898401260376, 0.07890848815441132], [0.050999172031879425, 0.0519193671643734, 0.06389284133911133]]"
"(9.98941462845174, 105.52962264833207)",Rice,"[[0.009838423691689968, 0.01466151513159275], [0.012454709969460964, 0.009758262895047665]]","[[0.06948871910572052, 0.051606688648462296], [0.05903317406773567, 0.059491414576768875]]"
"(9.95943552569418, 105.50691120685008)",Rice,"[[0.038993366062641144, 0.03760221228003502], [0.025305751711130142, 0.025711912661790848]]","[[0.0776870995759964, 0.09586851298809052], [0.06020734831690788, 0.08710728585720062]]"
"(9.971245475265341, 105.49600971493871)",Rice,"[[0.04555901512503624, 0.05274968966841698], [0.06918080151081085, 0.05510026589035988]]","[[0.10912782698869705, 0.09751278907060623], [0.08850346505641937, 0.10899513214826584]]"
"(9.97533353473228, 105.53371070779883)",Rice,"[[0.01590585522353649, 0.024208910763263702], [0.013533511199057102, 0.021870288997888565]]","[[0.06752555072307587, 0.09620708227157593], [0.05728822201490402, 0.09173201769590378]]"
"(9.980330051858541, 105.51009080865757)",Rice,"[[0.016551338136196136, 0.012523986399173737], [0.01129926461726427, 0.0069214156828820705]]","[[0.041666582226753235, 0.02909567579627037], [0.037355221807956696, 0.03538559377193451]]"
"(9.966248958139081, 105.53280225013955)",Rice,"[[0.01584775745868683, 0.030216552317142487], [0.017021799460053444, 0.04157712310552597]]","[[0.06427984684705734, 0.13639864325523376], [0.023451773449778557, 0.08611982315778732]]"
"(9.977150450050921, 105.50827389333898)",Rice,"[[0.0262273121625185, 0.0129545908421278], [0.03663258254528046, 0.01446320116519928]]","[[0.09552738815546036, 0.0842968299984932], [0.08124682307243347, 0.061261244118213654]]"
"(9.97987582302888, 105.49600971493871)",Rice,"[[0.036396682262420654, 0.05731181055307388], [0.031211432069540024, 0.03382322937250137]]","[[0.3047920763492584, 0.19878317415714264], [0.23039373755455017, 0.15555447340011597]]"
"(9.966248958139081, 105.49782663025726)",Rice,"[[0.013463831506669521, 0.014077620580792427], [0.021042484790086746, 0.020760279148817062]]","[[0.06616629660129547, 0.08611169457435608], [0.08971954882144928, 0.09010878950357437]]"
"(9.977604678880581, 105.51508732578358)",Rice,"[[0.02523598074913025, 0.027462705969810486], [0.023522483184933662, 0.025495566427707672]]","[[0.11247633397579193, 0.08698657900094986], [0.1090388149023056, 0.1000184416770935]]"
"(9.985326568984801, 105.50645697802042)",Rice,"[[0.0446627140045166, 0.026918722316622734], [0.03285665810108185, 0.031176237389445305]]","[[0.15361402928829193, 0.14050611853599548], [0.12499074637889862, 0.10454417765140533]]"
"(9.98805194196276, 105.4991893167462)",Rice,"[[0.0369768962264061, 0.032575592398643494], [0.049376003444194794, 0.04565678536891937]]","[[0.23605374991893768, 0.11338991671800613], [0.29217448830604553, 0.15592442452907562]]"
"(9.985780797814462, 105.54506642853983)",Rice,"[[0.03361202031373978, 0.0339021310210228], [0.02327788434922695, 0.030844176188111305]]","[[0.04208981618285179, 0.1370154470205307], [0.04724403843283653, 0.11727233231067657]]"
"(9.986689255473781, 105.51099926631684)",Rice,"[[0.012140589766204357, 0.019154997542500496], [0.013076593168079853, 0.0243486687541008]]","[[0.03512263298034668, 0.027976108714938164], [0.03838738426566124, 0.02749030478298664]]"
"(9.99123154377038, 105.51327041046503)",Rice,"[[0.0295511856675148, 0.02109774388372898], [0.03854359686374664, 0.03205278888344765]]","[[0.09080362319946289, 0.0623612217605114], [0.06808414310216904, 0.04190080240368843]]"
"(9.974425077072961, 105.50827389333898)",Rice,"[[0.03391362726688385, 0.024974944069981575], [0.01800994947552681, 0.017902782186865807]]","[[0.1452428251504898, 0.2701855003833771], [0.1585409790277481, 0.2846941351890564]]"
"(9.969882788776362, 105.49646394376836)",Rice,"[[0.02156253531575203, 0.03070605918765068], [0.024461654946208, 0.026749057695269585]]","[[0.09915991872549057, 0.08011221140623093], [0.12880761921405792, 0.10158424079418182]]"
"(9.956710152716221, 105.51645001227251)",Rice,"[[0.04653167724609375, 0.05836334452033043], [0.04317718744277954, 0.04785273224115372]]","[[0.033337678760290146, 0.04218073561787605], [0.045082125812768936, 0.05708235874772072]]"
"(9.983509653666161, 105.53416493662849)",Rice,"[[0.01807066984474659, 0.021423308178782463], [0.01275240071117878, 0.018007351085543633]]","[[0.16893300414085388, 0.1718146651983261], [0.13731150329113007, 0.1676337867975235]]"
"(9.976241992391602, 105.48556245185699)",Rice,"[[0.020848579704761505, 0.01334294117987156], [0.02592228166759014, 0.034134212881326675], [0.014025034382939339, 0.020589053630828857]]","[[0.06111398711800575, 0.03265346214175224], [0.05779300630092621, 0.06483186781406403], [0.0999552309513092, 0.13559706509113312]]"
"(9.9512594067603, 105.51463309695396)",Rice,"[[0.032492294907569885, 0.024063020944595337], [0.04140361770987511, 0.030151009559631348]]","[[0.19811050593852997, 0.127682164311409], [0.2295333445072174, 0.13063566386699677]]"
"(9.972608161754321, 105.53461916545811)",Rice,"[[0.01746036671102047, 0.02471817657351494], [0.02225586213171482, 0.023345142602920532]]","[[0.03343132138252258, 0.041448961943387985], [0.04001474380493164, 0.04537705332040787]]"
"(9.9785131365399, 105.52825996184316)",Rice,"[[0.037146247923374176, 0.03475305438041687], [0.02634747140109539, 0.03769393637776375]]","[[0.04951414093375206, 0.04488496482372284], [0.05130976811051369, 0.06443920731544495]]"
"(9.996682289726301, 105.5005520032351)",Rice,"[[0.019057955592870712, 0.03536239266395569], [0.026514148339629173, 0.02937193587422371]]","[[0.0886072963476181, 0.082338348031044], [0.03858548402786255, 0.041048888117074966]]"
"(9.99259423025936, 105.52008384290963)",Rice,"[[0.03575160726904869, 0.035505954176187515], [0.028692862018942833, 0.02481888048350811]]","[[0.02526749297976494, 0.0366513729095459], [0.06965375691652298, 0.07430127263069153]]"
"(9.996228060896641, 105.51463309695396)",Rice,"[[0.037757329642772675, 0.03706640377640724], [0.04716780036687851, 0.05151120573282242]]","[[0.1438123881816864, 0.15714064240455627], [0.2228858470916748, 0.20071417093276978]]"
"(9.989868857281401, 105.52053807173928)",Rice,"[[0.019860288128256798, 0.024815861135721207], [0.020741615444421768, 0.023725014179944992]]","[[0.02488788217306137, 0.030298858880996704], [0.045761145651340485, 0.04585505276918411]]"
"(9.977150450050921, 105.5128161816354)",Rice,"[[0.03105837106704712, 0.03571321442723274], [0.021118098869919777, 0.02945544198155403]]","[[0.07018544524908066, 0.053464457392692566], [0.09689542651176453, 0.09976353496313095]]"
"(9.953530550908601, 105.52871419067279)",Rice,"[[0.031078781932592392, 0.021930357441306114], [0.024928584694862366, 0.013094199821352959]]","[[0.034813571721315384, 0.07978221029043198], [0.05298386514186859, 0.06357135623693466]]"
"(9.973062390583982, 105.5209923005689)",Rice,"[[0.05968267470598221, 0.043321043252944946], [0.08160791546106339, 0.04973556846380234]]","[[0.09430262446403503, 0.153625950217247], [0.07172541320323944, 0.11853703111410141]]"
"(9.990323086111061, 105.51054503748719)",Rice,"[[0.053427014499902725, 0.05883572995662689], [0.053871866315603256, 0.06394030898809433]]","[[0.09457051008939743, 0.07564538717269897], [0.09871488064527512, 0.10258334875106812]]"
"(9.954893237397581, 105.52508036003567)",Rice,"[[0.011134703643620014, 0.021987613290548325, 0.016393590718507767], [0.01135308388620615, 0.008859657682478428, 0.009085902944207191]]","[[0.057045500725507736, 0.10365431010723114, 0.10061738640069962], [0.032862044870853424, 0.04538685083389282, 0.06721440702676773]]"
"(9.969428559946701, 105.50191468972403)",Rice,"[[0.044938765466213226, 0.05115467682480812], [0.02955537661910057, 0.03752426430583]]","[[0.07066819816827774, 0.07022319734096527], [0.045768655836582184, 0.046638406813144684]]"
"(9.972608161754321, 105.48965051132376)",Rice,"[[0.0426725409924984, 0.042306359857320786], [0.06525148451328278, 0.0662694051861763]]","[[0.1484764814376831, 0.1147032082080841], [0.161885067820549, 0.16911257803440094]]"
"(9.958072839205201, 105.52144652939856)",Rice,"[[0.018329354003071785, 0.012635997496545315], [0.022782718762755394, 0.016028065234422684]]","[[0.040574029088020325, 0.06591446697711945], [0.054328933358192444, 0.06675633788108826]]"
"(9.973970848243301, 105.48737936717555)",Rice,"[[0.011977776885032654, 0.0167238786816597], [0.008830075152218342, 0.010250888764858246]]","[[0.09239375591278076, 0.09358780086040497], [0.10400694608688354, 0.10879625380039215]]"
"(9.974879305902622, 105.48692513834592)",Rice,"[[0.03692081943154335, 0.035907335579395294], [0.03857852518558502, 0.031240006908774376]]","[[0.03662026673555374, 0.10047116130590439], [0.03104904107749462, 0.06974079459905624]]"
"(9.97987582302888, 105.5141788681243)",Rice,"[[0.05351436883211136, 0.036813292652368546], [0.05267441272735596, 0.05157985910773277]]","[[0.208078071475029, 0.18075735867023468], [0.19042730331420898, 0.1872597634792328]]"
"(9.99123154377038, 105.50191468972403)",Rice,"[[0.009457170963287354, 0.010523263365030289], [0.009585252031683922, 0.010491044260561466], [0.013528864830732346, 0.016150757670402527]]","[[0.10360497236251831, 0.08334962278604507], [0.10929415374994278, 0.10794122517108917], [0.1274529993534088, 0.16744615137577057]]"
"(9.95943552569418, 105.5323480213099)",Rice,"[[0.05300694704055786, 0.06348633021116257], [0.030732428655028343, 0.037747859954833984]]","[[0.03874431923031807, 0.05457212030887604], [0.0712006613612175, 0.0642738789319992]]"
"(9.9626151275018, 105.52326344471712)",Rice,"[[0.01537824422121048, 0.026890447363257408, 0.025279026478528976], [0.018182069063186646, 0.030703993514180183, 0.01798322983086109]]","[[0.03873725235462189, 0.07865574955940247, 0.08982987701892853], [0.0520734004676342, 0.10818860679864883, 0.1178099662065506]]"
"(9.952167864419621, 105.52689727535423)",Rice,"[[0.014562483876943588, 0.01287385355681181, 0.01020029466599226], [0.020115578547120094, 0.020035937428474426, 0.009707828983664513]]","[[0.06419161707162857, 0.08219657838344574, 0.09832893311977386], [0.09321626275777817, 0.10569345951080322, 0.076478973031044]]"
"(9.985780797814462, 105.54688334385838)",Rice,"[[0.04395366460084915, 0.029724115505814552], [0.02141021564602852, 0.03063846379518509]]","[[0.12739036977291107, 0.11910312622785568], [0.1523430049419403, 0.05833733081817627]]"
"(9.977150450050921, 105.51009080865757)",Rice,"[[0.028646625578403473, 0.024968506768345833], [0.02935546264052391, 0.03251209855079651]]","[[0.1627066731452942, 0.13020144402980804], [0.1603085994720459, 0.11702112853527069]]"
"(9.985780797814462, 105.50918235099826)",Rice,"[[0.041587524116039276, 0.03875656798481941], [0.040664561092853546, 0.038265589624643326]]","[[0.056535184383392334, 0.125383198261261], [0.08935612440109253, 0.19665345549583435]]"
"(9.984418111325482, 105.5073654356797)",Rice,"[[0.04473298788070679, 0.033563122153282166], [0.04709653556346893, 0.029768265783786774]]","[[0.1218026652932167, 0.1252625435590744], [0.10679991543292999, 0.15015281736850739]]"
"(9.94807980495268, 105.51735846993179)",Rice,"[[0.009983094409108162, 0.015391181223094463], [0.016778459772467613, 0.014998878352344036]]","[[0.057981159538030624, 0.06346160918474197], [0.05916796624660492, 0.05052272975444794]]"
"(9.974879305902622, 105.49010474015338)",Rice,"[[0.044981420040130615, 0.04157836362719536], [0.04103269800543785, 0.04267095774412155], [0.04343913868069649, 0.041437845677137375]]","[[0.2561294436454773, 0.18421530723571777], [0.24650493264198303, 0.18851090967655182], [0.13177302479743958, 0.1822417974472046]]"
"(9.969428559946701, 105.49555548610908)",Rice,"[[0.018416181206703186, 0.013946658000349998], [0.013198823668062687, 0.024144219234585762]]","[[0.07350590825080872, 0.07976929098367691], [0.08484648168087006, 0.13299357891082764]]"
"(9.999861891533921, 105.50645697802042)",Rice,"[[0.02370244637131691, 0.05221991240978241], [0.008771734312176704, 0.03737057372927666]]","[[0.09031905233860016, 0.08017473667860031], [0.061135273426771164, 0.0735781341791153]]"
"(9.957164381545882, 105.53053110599134)",Rice,"[[0.04068427532911301, 0.04650966450572014], [0.059512995183467865, 0.04951903223991394]]","[[0.04481593891978264, 0.049716826528310776], [0.06683316826820374, 0.09467629343271255]]"
"(9.958981296864522, 105.51690424110214)",Rice,"[[0.028568299487233162, 0.027775313705205917], [0.045643150806427, 0.04494534060359001]]","[[0.12525403499603271, 0.11337623745203018], [0.20688368380069733, 0.17870011925697327]]"
"(9.950805177930642, 105.51463309695396)",Rice,"[[0.041396547108888626, 0.022372830659151077], [0.0312281996011734, 0.020393231883645058]]","[[0.1715966761112213, 0.17053715884685516], [0.15863601863384247, 0.1615467220544815]]"
"(9.959889754523841, 105.53007687716172)",Rice,"[[0.003021378070116043, 0.0033078438136726618], [0.003222488332539797, 0.0021350288297981024]]","[[0.012258280999958515, 0.010978205129504204], [0.009621155448257923, 0.01634165644645691]]"
"(9.995319603237322, 105.50146046089439)",Rice,"[[0.013043036684393883, 0.014666727744042873], [0.013128925114870071, 0.02119932882487774]]","[[0.06913141161203384, 0.08607010543346405], [0.09835129231214523, 0.11309701204299927]]"
"(9.9785131365399, 105.50918235099826)",Rice,"[[0.023453453555703163, 0.027142271399497986], [0.019075999036431313, 0.027582203969359398]]","[[0.07874932885169983, 0.06664783507585526], [0.11551616340875626, 0.11226175725460052]]"
